,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
2087,2018-08-21,WSM,582485110471.7656,14.517231459639836,287.53161498187677,0.0,42.0,0.0036533917102802385,2397771.904761905,3284.6190476190477,99907.16269841269
2096,2018-08-22,WSM,576742948411.0844,14.874905422446407,283.729651346069,0.0,42.0,0.003637576161750887,2408197.0,3298.8999999999996,100341.54166666666
2105,2018-08-23,WSM,577545123751.9324,14.620610417157671,278.77893000235684,0.0,42.0,0.003621896954157133,2418622.095238095,3313.1809523809525,100775.92063492064
2114,2018-08-24,WSM,585461708126.75,14.52133655394525,289.3658270071314,0.0,42.0,0.0036063523320362867,2429047.1904761908,3327.461904761905,101210.2996031746
2123,2018-08-25,WSM,586143311940.2506,14.570254110612854,289.7287570426584,0.0,42.0,0.003590940569933568,2439472.2857142854,3341.742857142857,101644.67857142855
2132,2018-08-26,WSM,587313995738.725,14.449053983683388,290.18295434820345,0.0,42.0,0.003575659971763638,2449897.3809523806,3356.023809523809,102079.05753968253
2141,2018-08-27,WSM,588389631030.3591,14.605332872609997,290.9513936880903,0.0,42.0,0.0035605088701883684,2460322.4761904757,3370.3047619047616,102513.4365079365
2150,2018-08-28,WSM,589180859106.7416,14.611021536335368,291.36939997696646,0.0,42.0,0.003545485626010358,2470747.5714285714,3384.5857142857144,102947.81547619047
2159,2018-08-29,WSM,589892685797.3914,14.71213084436225,292.2039070627673,0.0,42.0,0.003530588627581743,2481172.6666666665,3398.866666666667,103382.19444444444
2168,2018-08-30,WSM,590968874566.9738,14.670353090259777,292.3151497695853,0.0,42.0,0.0035158162902278445,2491597.7619047617,3413.147619047619,103816.5734126984
2177,2018-08-31,WSM,592007954306.3859,14.724518226143488,293.4590249564713,0.0,42.0,0.0035011670556852285,2502022.8571428573,3427.4285714285716,104250.95238095238
2186,2018-09-01,WSM,592490668872.4379,14.68743515850144,293.18587896253604,0.0,42.0,0.003486639391553755,2512447.952380952,3441.7095238095235,104685.33134920633
2195,2018-09-02,WSM,593270538424.6921,14.673303324099724,293.57860110803324,0.0,42.0,0.0034722317907622106,2522873.047619047,3455.9904761904754,105119.7103174603
2204,2018-09-03,WSM,593523814697.1931,14.59616387552877,293.48102219389233,0.0,42.0,0.0034579427710471396,2533298.1428571427,3470.2714285714283,105554.08928571428
2213,2018-09-04,WSM,594964072822.6332,14.703436743166877,294.4639603275285,0.0,42.0,0.0034437708744444874,2543723.238095238,3484.5523809523806,105988.46825396824
