,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs,MTTFTest_SSDs
3996,2019-03-25,none,688114969928.0774,9.639549436795996,439.0589707722889,0.0,166.0,0.009003385761181575,972967.3072289159,1332.8319277108435,40540.304467871494,2.6927710843373496
4005,2019-03-26,none,681371492633.0365,9.571324758375118,434.68875808444153,0.0,166.0,0.008983288917964655,975143.9678714859,1335.8136546184737,40630.99866131191,2.6987951807228914
4014,2019-03-27,none,672392317816.2291,9.565208065208065,428.94072644072645,0.0,166.0,0.008963281592980323,977320.6285140562,1338.7953815261044,40721.69285475234,2.7048192771084336
4023,2019-03-28,none,676560163628.6755,9.3370640479457,431.748934941151,0.0,166.0,0.008943363189440367,979497.2891566264,1341.7771084337348,40812.387048192766,2.710843373493976
4032,2019-03-29,none,680044883785.8125,9.291195564957327,433.3829600992049,0.0,166.0,0.00892353311584959,981673.9497991968,1344.7588353413655,40903.0812416332,2.716867469879518
4041,2019-03-30,none,678088763891.5405,9.225320489606721,433.3974795393641,0.0,166.0,0.008903790785947267,983850.610441767,1347.740562248996,40993.77543507363,2.7228915662650603
4050,2019-03-31,none,679731775109.6383,9.340597488815124,434.2057295425025,2.0,168.0,0.008991173397187316,974288.8511904761,1334.6422619047617,40595.36879960317,2.6964285714285716
4059,2019-04-01,none,686089918659.4993,9.339391285307642,438.88154149332166,1.0,169.0,0.009025985759593671,970531.1124260355,1329.4946745562129,40438.796351084806,2.6863905325443787
4068,2019-04-02,none,683341994610.7766,9.326789336424225,436.4429875398435,0.0,169.0,0.009006755066299726,972603.3333333331,1332.333333333333,40525.13888888888,2.6923076923076925
4077,2019-04-03,none,683390653993.0267,9.194642079279802,437.1285755771744,0.0,169.0,0.008987003410452577,974740.923076923,1335.2615384615383,40614.205128205125,2.698224852071006
4086,2019-04-04,none,694913915954.8403,9.673246906305245,444.3249594813614,4.0,173.0,0.009179582886120996,954291.726396917,1307.2489402697495,39762.15526653821,2.6416184971098264
4095,2019-04-05,none,686908300385.5349,9.615479471928042,439.58537646888146,0.0,173.0,0.009162008674780467,956122.2119460502,1309.7564547206166,39838.42549775209,2.647398843930636
4104,2019-04-06,none,681385820928.9364,9.590476871380568,436.1472081218274,1.0,174.0,0.009194892078917539,952702.8620689656,1305.0724137931036,39695.9525862069,2.6379310344827585
