,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
3856,2019-03-10,RM,825197037578.8442,10.351608518350702,556.711523938982,0.0,69.0,0.007236345330984142,1210555.8260869568,1658.2956521739134,50439.82608695653
3865,2019-03-11,RM,828198938850.4875,10.306598062953995,559.1457324455206,1.0,70.0,0.007324265582520349,1196024.3523809526,1638.389523809524,49834.34801587302
3874,2019-03-12,RM,809244812624.7816,10.174852941176471,545.9360294117647,0.0,70.0,0.007308309141476685,1198635.6666666665,1641.9666666666665,49943.152777777774
3883,2019-03-13,RM,819058888395.8506,9.837525895235277,553.1749297025307,0.0,70.0,0.007291508430806623,1201397.5,1645.75,50058.229166666664
3892,2019-03-14,RM,813192214956.9419,10.222960992907801,548.974586288416,0.0,70.0,0.0072747847876167004,1204159.3333333333,1649.533333333333,50173.30555555555
3901,2019-03-15,RM,815071149658.9779,10.262595196250732,550.5676625659052,0.0,70.0,0.007258137682839546,1206921.1666666665,1653.3166666666664,50288.38194444444
3910,2019-03-16,RM,816095925794.5925,10.253585016095991,551.4733684518584,0.0,70.0,0.007241566592239456,1209682.9999999998,1657.0999999999997,50403.45833333332
3919,2019-03-17,RM,835468982107.5011,10.521471471471472,565.4006006006006,0.0,70.0,0.007225070996357361,1212444.833333333,1660.883333333333,50518.53472222221
3928,2019-03-18,RM,811723800521.5927,10.138668207424526,548.0606673407482,0.0,70.0,0.007208650380456549,1215206.6666666665,1664.6666666666665,50633.6111111111
3937,2019-03-19,RM,812818402306.7773,10.160683265778808,549.1006225568264,0.0,70.0,0.007192304234469119,1217968.5,1668.4499999999998,50748.68749999999
3946,2019-03-20,RM,820609459735.7723,10.158417287195212,555.5067893123083,1.0,71.0,0.007278546796556644,1203536.9483568075,1648.6807511737088,50147.37284820031
3955,2019-03-21,RM,813377208062.8542,10.213249030033051,550.4976289696796,0.0,71.0,0.007263030832077363,1206108.0563380283,1652.2028169014086,50254.502347417845
3964,2019-03-22,RM,816952738915.6049,10.245639325356782,552.8293210321465,0.0,71.0,0.0072466726545276396,1208830.647887324,1655.932394366197,50367.94366197183
3973,2019-03-23,RM,835907571958.476,10.438726948245092,566.7725717685557,0.0,71.0,0.007230387996877016,1211553.2394366197,1659.6619718309857,50481.38497652581
3982,2019-03-24,RM,817813612089.5033,10.232363950475094,553.7185430463576,0.0,71.0,0.007214176364597023,1214275.8309859154,1663.3915492957744,50594.82629107981
3991,2019-03-25,RM,819416287497.8473,10.20746767397937,554.85544094145,0.0,71.0,0.0071980372675845014,1216998.422535211,1667.1211267605634,50708.2676056338
4000,2019-03-26,RM,843156852827.6064,10.534163331851193,572.2962798280718,0.0,71.0,0.007181970220112215,1219721.0140845068,1670.8507042253518,50821.70892018778
4009,2019-03-27,RM,845339135634.884,10.342649026311877,574.3255537386651,0.0,71.0,0.0071659747407801155,1222443.605633803,1674.580281690141,50935.150234741785
4018,2019-03-28,RM,845380137405.9563,10.541629497472496,574.2091882247993,0.0,71.0,0.007150050352467272,1225166.1971830984,1678.3098591549292,51048.591549295765
4027,2019-03-29,RM,834465584156.3229,10.085014836795253,570.2977744807122,0.0,71.0,0.0071341965822844175,1227888.788732394,1682.0394366197181,51162.03286384976
4036,2019-03-30,RM,834353143219.6903,10.174758701374671,566.3326996197719,0.0,71.0,0.007118412961527151,1230611.38028169,1685.769014084507,51275.474178403754
4045,2019-03-31,RM,835374989291.4176,10.149525893508388,567.4687089715536,0.0,71.0,0.00710269902562974,1233333.9718309857,1689.4985915492955,51388.91549295774
4054,2019-04-01,RM,849455761364.3019,10.44728624535316,577.6987360594795,0.0,71.0,0.007087054314119543,1236056.5633802814,1693.2281690140842,51502.35680751173
4063,2019-04-02,RM,838815959840.7277,9.660371791088817,570.3017114192977,0.0,71.0,0.007071478370572027,1238779.1549295774,1696.957746478873,51615.798122065724
4072,2019-04-03,RM,838141376766.6725,9.940090815878131,570.0848103119965,1.0,72.0,0.007155350612179997,1224258.6666666665,1677.0666666666666,51010.777777777774
4081,2019-04-04,RM,850438092419.0682,9.858456436539042,579.3313234850768,0.0,72.0,0.007140592255928524,1226788.9953703703,1680.5328703703701,51116.20814043209
4090,2019-04-05,RM,839334945406.8197,9.4049223556988,571.4551714034574,1.0,73.0,0.0072239597965196335,1212631.3333333335,1661.1388127853884,50526.30555555556
4099,2019-04-06,RM,863564174708.6072,9.753034617113743,588.5017233628054,0.0,73.0,0.007209128929839375,1215126.0,1664.5561643835615,50630.25
4108,2019-04-07,RM,843902771470.9966,9.535824175824176,575.1031350717843,0.0,73.0,0.00719345691042668,1217773.3333333333,1668.1826484018266,50740.555555555555
4117,2019-04-08,RM,854260402908.2916,9.600531051777548,582.6329842159611,0.0,73.0,0.0071778528824214165,1220420.6666666667,1671.8091324200914,50850.86111111111
4126,2019-04-09,RM,849851271602.3365,9.893519882179676,578.9863033873343,0.0,73.0,0.007162316404320938,1223067.9999999998,1675.435616438356,50961.166666666664
4135,2019-04-10,RM,843456447110.2421,9.959106728538282,574.7289733178654,0.0,73.0,0.007146847038436875,1225715.3333333333,1679.062100456621,51071.47222222222
4144,2019-04-11,RM,843228629783.4792,9.92729905865315,574.5465604634323,0.0,73.0,0.007131444350854037,1228362.6666666667,1682.6885844748858,51181.77777777778
4153,2019-04-12,RM,850188442512.7125,9.812527440362944,580.4463632372311,1.0,74.0,0.007213588841682846,1214374.7297297297,1663.527027027027,50598.94707207207
4162,2019-04-13,RM,858448204035.3596,9.70877560173419,587.5840932874869,0.0,74.0,0.007199015485990294,1216833.0540540542,1666.8945945945948,50701.377252252256
4171,2019-04-14,RM,853108722832.1095,9.818275003660858,582.3558354078195,0.0,74.0,0.007183600035270829,1219444.283783784,1670.4716216216216,50810.17849099099
4180,2019-04-15,RM,844275050678.5769,9.849484236524772,576.9838733110562,0.0,74.0,0.0071682504625458915,1222055.5135135134,1674.0486486486486,50918.97972972973
4189,2019-04-16,RM,877047724567.0498,10.118843199277,600.1703569814731,0.0,74.0,0.0071529663464210596,1224666.7432432433,1677.625675675676,51027.78096846847
4198,2019-04-17,RM,875688022868.8824,9.456137678952178,599.4961925068535,0.0,74.0,0.007137747269088249,1227277.972972973,1681.2027027027027,51136.58220720721
4207,2019-04-18,RM,881228640612.8333,10.215287409462167,602.0953922021883,5.0,79.0,0.007603849087658424,1152048.1139240505,1578.1481012658226,48002.00474683544
4216,2019-04-19,RM,880051711405.6989,9.752125075895568,603.2801639095462,0.0,79.0,0.007592519819573538,1153767.1561181433,1580.5029535864978,48073.63150492264
4225,2019-04-20,RM,882534474624.4929,9.823841260224174,605.4918206604059,12.0,91.0,0.008727323876423651,1003744.1172161172,1374.9919413919415,41822.671550671555
4234,2019-04-21,RM,882266316911.54,9.991186749734084,606.3949247834676,0.0,91.0,0.008722100460705819,1004345.2307692308,1375.8153846153846,41847.71794871795
4243,2019-04-22,RM,858252176781.2225,10.196323529411766,587.2066176470588,2.0,93.0,0.008895029092165042,984819.7132616488,1349.068100358423,41034.15471923536
4252,2019-04-23,RM,866844897145.008,9.976754582029503,595.9728803457011,0.0,93.0,0.008878582990883805,986643.9283154124,1351.567025089606,41110.163679808844
4261,2019-04-24,RM,858003815795.1622,10.113331388564761,590.0866394399067,0.0,93.0,0.008859969609351554,988716.7096774195,1354.4064516129033,41196.529569892475
4270,2019-04-25,RM,862896499402.2347,10.00672809711862,592.3574667251719,0.0,93.0,0.00884143410807676,990789.4910394266,1357.2458781362009,41282.89545997611
4279,2019-04-26,RM,859667294227.3639,9.987014881820835,590.063904289466,0.0,93.0,0.008822975999291632,992862.2724014337,1360.0853046594982,41369.261350059736
4288,2019-04-27,RM,883894128832.5529,10.153892126101898,607.2484685492306,0.0,93.0,0.008804594799293108,994935.0537634408,1362.9247311827958,41455.62724014337
4297,2019-04-28,RM,899550934469.5796,10.219931804091754,622.590141063401,0.0,93.0,0.008786290028400605,997007.8351254482,1365.7641577060933,41541.993130227005
4306,2019-04-29,RM,908073655433.8855,10.60214219186588,628.8742626513505,0.0,93.0,0.008768061210914299,999080.6164874551,1368.6035842293907,41628.35902031063
4315,2019-04-30,RM,889980559649.6902,10.269775948788295,616.348574912361,0.0,93.0,0.008749907875073895,1001153.3978494625,1371.4430107526885,41714.724910394274
4324,2019-05-01,RM,890078048256.9043,9.943488194973343,615.0795125666413,0.0,93.0,0.00873182955301796,1003226.1792114694,1374.2824372759856,41801.09080047789
4333,2019-05-02,RM,888789351232.6648,10.176907904718556,614.9952966165984,0.0,93.0,0.008713825780743693,1005298.9605734769,1377.1218637992833,41887.456690561536
4342,2019-05-03,RM,895425659879.7378,10.41564792176039,620.5530256723716,0.0,93.0,0.008695896098067268,1007371.7419354838,1379.9612903225805,41973.82258064516
4351,2019-05-04,RM,888468761426.284,10.1537995761429,614.9768392370572,0.0,93.0,0.008678040048584582,1009444.5232974911,1382.8007168458782,42060.1884707288
4360,2019-05-05,RM,909549593926.852,10.456801613153404,629.9139134481154,0.0,93.0,0.008660257179632565,1011517.3046594982,1385.6401433691756,42146.55436081243
4369,2019-05-06,RM,888126875841.0071,10.405973285306919,615.182350292661,0.0,93.0,0.008642547042250903,1013590.0860215054,1388.4795698924731,42232.92025089606
4378,2019-05-07,RM,908792152092.3501,10.593991947971508,630.8742644781667,0.0,93.0,0.008624909191144269,1015662.8673835126,1391.3189964157707,42319.28614097969
4387,2019-05-08,RM,875871300892.7511,10.067804088836594,602.9851448742462,1.0,94.0,0.008699895261899241,1006908.6737588652,1379.3269503546098,41954.52807328605
4396,2019-05-09,RM,897090813915.8636,10.106251878569282,619.1324015629697,0.0,94.0,0.008683308648513832,1008832.0425531913,1381.9617021276592,42034.668439716304
4405,2019-05-10,RM,887917908466.4954,10.155982274741506,612.4301329394387,0.0,94.0,0.008665695446387027,1010882.5141843972,1384.7705673758865,42120.10475768321
4414,2019-05-11,RM,892100068050.1392,10.204214900563965,615.9869416827422,0.0,94.0,0.00864815355277086,1012932.9858156027,1387.5794326241132,42205.54107565011
4423,2019-05-12,RM,888619083916.1826,9.811492537313432,613.3848335572474,1.0,95.0,0.00872249830714671,1004299.4210526317,1375.7526315789476,41845.80921052632
4432,2019-05-13,RM,882525142673.2231,10.010529394559812,609.2825387540216,0.0,95.0,0.008706011730205276,1006201.2631578951,1378.3578947368426,41925.05263157896
4441,2019-05-14,RM,895571697449.8341,10.305439952437574,620.5936385255648,0.0,95.0,0.008688494603987561,1008229.8947368421,1381.1368421052632,42009.57894736843
4450,2019-05-15,RM,897248478086.9205,10.313253012048193,622.1410084783579,0.0,95.0,0.008671047827674331,1010258.5263157898,1383.9157894736845,42094.10526315791
4459,2019-05-16,RM,914950984148.3796,10.458670741023683,634.7810542398778,1.0,96.0,0.00874476225177628,1001742.5,1372.25,41739.270833333336
4468,2019-05-17,RM,897834825383.2958,10.224346527259149,622.8809559372667,0.0,96.0,0.008728374794797324,1003623.2638888888,1374.8263888888887,41817.635995370365
4477,2019-05-18,RM,905006929905.2809,10.095597104945718,628.5542822677925,0.0,96.0,0.008710952889019285,1005630.5104166666,1377.5760416666667,41901.27126736111
4486,2019-05-19,RM,899616970689.901,10.227551172867175,624.4297026744359,0.0,96.0,0.008693600393224424,1007637.7569444445,1380.3256944444445,41984.906539351854
