app,node_id,failure_time
DAE,65386.0,8940.175277777778
DAE,65390.0,7810.0986111111115
DAE,65460.0,16267.267777777777
DAE,65779.0,4504.796111111111
DAE,66583.0,3407.4669444444444
DAE,66732.0,4479.058888888889
DAE,67245.0,1131.2205555555556
DAE,67386.0,4701.0633333333335
DAE,67473.0,16859.60111111111
DAE,67553.0,4166.598055555555
DAE,67657.0,12285.038611111111
DAE,67847.0,4907.355
DAE,68178.0,7606.609861111112
DAE,69383.0,5619.794722222223
DAE,69543.0,7922.267222222222
DAE,70132.0,7810.429444444444
DAE,70346.0,6788.2813888888895
DAE,70359.0,6446.629444444445
DAE,70520.0,6171.384999999999
DAE,70557.0,6791.800833333333
DAE,70726.0,6266.995555555555
DAE,72228.0,10246.453055555556
DAE,72939.0,3987.474722222222
DAE,73066.0,7810.4158333333335
DAE,73432.0,2412.608472222222
DAE,73475.0,9983.271944444445
DAE,73477.0,7809.949166666667
DAE,73601.0,8739.37314814815
DAE,73618.0,5483.384722222222
DAE,74061.0,4259.200277777778
DAE,74339.0,8953.603055555555
DAE,74564.0,3426.5980555555557
DAE,74697.0,6139.6194444444445
DAE,74979.0,7809.939027777778
DAE,75163.0,7810.086666666667
DAE,75374.0,7882.1802777777775
DAE,75521.0,12669.1025
DAE,75531.0,4598.951666666666
DAE,75990.0,5030.945555555556
DAE,76628.0,14942.00138888889
DAE,76857.0,6405.854722222222
DAE,77166.0,3740.5538194444443
DAE,77193.0,5581.940833333333
DAE,77396.0,5726.894166666667
DAE,77538.0,7810.414722222223
DAE,77812.0,6059.446388888889
DAE,77871.0,7810.461388888889
DAE,78150.0,5509.3375
DAE,78999.0,3905.1255555555554
DAE,79025.0,16371.468055555557
DAE,79109.0,10698.189722222221
DAE,79491.0,7810.198888888889
DAE,79647.0,6410.4875
DAE,80083.0,11232.181666666667
DAE,80123.0,6899.538055555556
DAE,80310.0,6069.303611111111
DAE,80340.0,15516.601944444445
DAE,80396.0,5895.327222222223
DAE,80564.0,4999.999583333333
DAE,80643.0,4337.418888888888
DAE,81024.0,7810.455277777777
DAE,81661.0,5148.918055555555
DAE,81746.0,3561.5158333333334
DAE,81833.0,6825.940277777778
DAE,82298.0,14176.135555555555
DAE,82325.0,4155.519444444444
DAE,83259.0,3063.4030555555555
DAE,83589.0,2821.449722222222
DAE,83601.0,8570.32888888889
DAE,83610.0,4835.0475
DAE,83659.0,9190.308611111112
DAE,83751.0,11614.065
DAE,83825.0,4632.669074074074
DAE,83947.0,4961.301944444444
DAE,84252.0,6639.446111111111
DAE,84446.0,7810.241944444444
DAE,84708.0,5604.520555555556
DAE,85051.0,6675.059444444444
DAE,85328.0,2483.1694444444443
DAE,85790.0,8883.352222222222
DAE,86024.0,4757.125416666667
DAE,86480.0,6381.964166666667
DAE,86684.0,5571.978611111112
DAE,86877.0,1671.2780555555555
DAE,87344.0,5387.586388888889
DAE,87699.0,10876.830277777777
DAE,88342.0,12346.819166666666
DAE,88356.0,8008.148055555555
DAE,88485.0,2296.458888888889
DAE,88649.0,5807.483888888889
DAE,88831.0,5726.894722222222
DAE,89282.0,4792.190277777778
DAE,89346.0,10510.85236111111
DAE,90302.0,7867.644166666667
DAE,90303.0,9774.986111111111
DAE,90780.0,2833.911574074074
DAE,90872.0,4731.440833333333
DAE,90904.0,5948.165277777778
DAE,91169.0,6232.606944444445
DAE,91394.0,7810.236111111111
DAE,91812.0,14777.568333333333
DAE,92007.0,7810.416944444444
DAE,92349.0,6327.368888888888
DAE,92370.0,4314.985833333333
DAE,92916.0,16402.606666666667
DAE,93651.0,12346.811666666666
DAE,94053.0,4895.891944444445
DAE,94197.0,12346.848388888888
DAE,94244.0,2043.4602777777777
DAE,94315.0,15851.968055555557
DAE,94475.0,6821.0225
DAE,94510.0,5982.945833333333
DAE,94764.0,8739.396944444445
DAE,94817.0,3061.6311111111113
DAE,95518.0,5353.067222222222
DAE,95608.0,5726.895
DAE,95723.0,7810.463055555555
DAE,96275.0,10879.204444444445
DAE,96431.0,10539.08888888889
DAE,96542.0,1600.125
DAE,96751.0,13925.601111111111
DAE,96836.0,10562.675555555556
DAE,96909.0,8903.556111111111
DAE,97100.0,6170.991111111111
