_id,disk_id,failure_time,model_x,model_y,app,node_id,rack_id,machine_room_id
{'$oid': '6266c2f1718b63c8dff9a3b8'},7183.0,1566354845000,MC2,C2,RM,72151.0,6633.0,185.0
{'$oid': '6266c2f1718b63c8dff9a3b9'},22601.0,1566356281000,MC1,C1,WSM,26393.0,23172.0,597.0
{'$oid': '6266c2f1718b63c8dff9a3ba'},155558.0,1566359947000,MC1,C1,WSM,185223.0,22488.0,625.0
{'$oid': '6266c2f1718b63c8dff9a3bb'},24381.0,1566360004000,MC1,C1,WSM,28449.0,7734.0,350.0
{'$oid': '6266c2f1718b63c8dff9a3bc'},16861.0,1566361958000,MB2,B2,WSM,80939.0,8549.0,225.0
{'$oid': '6266c2f1718b63c8dff9a3bd'},169515.0,1566369189000,MC1,C1,WSM,202812.0,22294.0,261.0
{'$oid': '6266c2f1718b63c8dff9a3be'},123560.0,1566372686000,MC1,C1,WSM,146638.0,9473.0,540.0
{'$oid': '6266c2f1718b63c8dff9a3bf'},121097.0,1566374110000,MC1,C1,WSM,143823.0,25004.0,352.0
{'$oid': '6266c2f1718b63c8dff9a3c0'},7104.0,1566378188000,MB1,B3,RM,40056.0,6893.0,256.0
{'$oid': '6266c2f1718b63c8dff9a3c1'},67142.0,1566378734000,MC1,C1,WSM,80483.0,5888.0,661.0
{'$oid': '6266c2f1718b63c8dff9a3c2'},8163.0,1566379110000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3c3'},113799.0,1566379111000,MC1,C1,none,135708.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3c4'},8166.0,1566379113000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3c5'},79751.0,1566379114000,MC1,C1,none,95782.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3c6'},73301.0,1566379115000,MC1,C1,none,87753.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3c7'},46432.0,1566379118000,MC1,C1,none,55560.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3c8'},82856.0,1566379120000,MC1,C1,none,99416.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3c9'},46429.0,1566379129000,MC1,C1,none,55560.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3ca'},73304.0,1566379130000,MC1,C1,none,87753.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3cb'},135944.0,1566379134000,MC1,C1,none,161702.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3cc'},79750.0,1566379135000,MC1,C1,none,95782.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3cd'},65297.0,1566379136000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3ce'},65288.0,1566379137000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3cf'},73308.0,1566379140000,MC1,C1,none,87753.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3d0'},135948.0,1566379156000,MC1,C1,none,161736.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3d1'},46427.0,1566379159000,MC1,C1,none,55560.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3d2'},113802.0,1566379162000,MC1,C1,none,135708.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3d3'},73309.0,1566379163000,MC1,C1,none,87753.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3d4'},115922.0,1566379164000,MC1,C1,none,138021.0,7356.0,506.0
{'$oid': '6266c2f1718b63c8dff9a3d5'},8170.0,1566379165000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3d6'},113801.0,1566379166000,MC1,C1,none,135708.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3d7'},65289.0,1566379168000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3d8'},135938.0,1566379170000,MC1,C1,none,161702.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3d9'},135942.0,1566379174000,MC1,C1,none,161702.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3da'},65291.0,1566379175000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3db'},73305.0,1566379176000,MC1,C1,none,87753.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3dc'},79756.0,1566379179000,MC1,C1,none,95782.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3dd'},135957.0,1566379182000,MC1,C1,none,161736.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3de'},135940.0,1566379183000,MC1,C1,none,161702.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3df'},132241.0,1566379184000,MC1,C1,none,157179.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3e0'},82859.0,1566379184000,MC1,C1,none,99416.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3e1'},149654.0,1566379189000,MC1,C1,none,177809.0,18246.0,506.0
{'$oid': '6266c2f1718b63c8dff9a3e2'},149646.0,1566379190000,MC1,C1,none,177809.0,18246.0,506.0
{'$oid': '6266c2f1718b63c8dff9a3e3'},73303.0,1566379195000,MC1,C1,none,87753.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3e4'},8175.0,1566379198000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3e5'},73302.0,1566379200000,MC1,C1,none,87753.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3e6'},113794.0,1566379201000,MC1,C1,none,135708.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3e7'},135939.0,1566379208000,MC1,C1,none,161702.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3e8'},46425.0,1566379208000,MC1,C1,none,55560.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3e9'},79748.0,1566379211000,MC1,C1,none,95782.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3ea'},8159.0,1566379214000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3eb'},65298.0,1566379217000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3ec'},65296.0,1566379217000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3ed'},135954.0,1566379225000,MC1,C1,none,161736.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3ee'},135958.0,1566379228000,MC1,C1,none,161736.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3ef'},132240.0,1566379229000,MC1,C1,none,157179.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3f0'},82863.0,1566379231000,MC1,C1,none,99416.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3f1'},82858.0,1566379234000,MC1,C1,none,99416.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3f2'},135951.0,1566379238000,MC1,C1,none,161736.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3f3'},135955.0,1566379242000,MC1,C1,none,161736.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3f4'},79754.0,1566379245000,MC1,C1,none,95782.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3f5'},46428.0,1566379247000,MC1,C1,none,55560.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3f6'},113797.0,1566379250000,MC1,C1,none,135708.0,18286.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3f7'},82855.0,1566379266000,MC1,C1,none,99416.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3f8'},82853.0,1566379274000,MC1,C1,none,99416.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3f9'},65287.0,1566379279000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3fa'},8158.0,1566379285000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3fb'},135937.0,1566379286000,MC1,C1,none,161702.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3fc'},65290.0,1566379291000,MC1,C1,none,78126.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3fd'},149659.0,1566379293000,MC1,C1,none,177809.0,18246.0,506.0
{'$oid': '6266c2f1718b63c8dff9a3fe'},135936.0,1566379295000,MC1,C1,none,161702.0,2530.0,344.0
{'$oid': '6266c2f1718b63c8dff9a3ff'},149652.0,1566379303000,MC1,C1,none,177809.0,18246.0,506.0
{'$oid': '6266c2f1718b63c8dff9a400'},8169.0,1566379305000,MC1,C1,none,9239.0,27487.0,344.0
{'$oid': '6266c2f1718b63c8dff9a401'},126866.0,1566379306000,MC1,C1,none,150593.0,7429.0,506.0
{'$oid': '6266c2f1718b63c8dff9a402'},79746.0,1566379308000,MC1,C1,none,95782.0,27487.0,344.0
