,Unnamed: 0,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs
75,685,2018-03-18,WSM,447052028422.6189,13.452653366296786,217.584143046053,0.0,4.0,0.0010791625698457,8117405.333333333,11119.733333333334,338225.2222222222
76,694,2018-03-19,WSM,448901444513.24713,13.294303979727006,217.9642363510712,0.0,4.0,0.0010647737355811,8227100.0,11270.0,342795.8333333333
77,703,2018-03-20,WSM,446404213404.004,13.287228526988882,217.04948441730517,0.0,4.0,0.0010507635548498,8336794.666666665,11420.266666666665,347366.4444444444
78,712,2018-03-21,WSM,447905904221.7468,13.458174685589016,218.12212991808008,0.0,4.0,0.0010371172749167,8446489.333333334,11570.533333333333,351937.0555555556
79,721,2018-03-22,WSM,449609047098.4142,13.313551456085392,218.9014966933519,1.0,5.0,0.0012797761244966,6844947.200000001,9376.64,285206.13333333336
80,730,2018-03-23,WSM,449686144364.70544,13.422970797884572,218.94527477581053,0.0,5.0,0.0012636465047186,6932318.466666667,9496.326666666668,288846.60277777776
81,739,2018-03-24,WSM,450636376846.7333,13.32166062906101,219.43028002990053,0.0,5.0,0.0012478509234096,7020069.333333333,9616.533333333333,292502.8888888889
82,748,2018-03-25,WSM,450582675750.45166,13.305391646419068,219.0020826102048,1.0,6.0,0.0014789344277448,5923183.500000001,8113.950000000001,246799.31250000003
83,757,2018-03-26,WSM,450480611927.4271,13.471289523699822,219.3429706847895,0.0,6.0,0.0014609796680329,5995976.666666666,8213.666666666666,249832.36111111107
84,766,2018-03-27,WSM,452398491649.3669,13.465388159410274,220.26123013130612,0.0,6.0,0.0014433775033578,6069098.333333333,8313.833333333334,252879.09722222225
85,775,2018-03-28,WSM,453879040385.7379,13.450445274346452,221.0097098534904,0.0,6.0,0.0014261944378416,6142220.0,8414.0,255925.8333333333
86,784,2018-03-29,WSM,454940401235.1571,13.480202578268877,221.44759712230217,0.0,6.0,0.0014094156797494,6215341.666666666,8514.166666666666,258972.56944444444
87,793,2018-03-30,WSM,455917521827.7472,13.46947574154978,222.144745918602,0.0,6.0,0.0013930271253337,6288463.333333333,8614.333333333332,262019.30555555556
88,802,2018-03-31,WSM,456577918214.397,13.472065754684447,222.46970916197265,0.0,6.0,0.0013770153192954,6361585.0,8714.5,265066.0416666666
89,811,2018-04-01,WSM,457257464281.2717,13.374424758398527,222.6859575447276,0.0,6.0,0.0013613674179397,6434706.666666666,8814.666666666666,268112.7777777777
90,820,2018-04-02,WSM,458113638810.1012,13.487577639751551,223.29382332643203,0.0,6.0,0.0013460711548168,6507828.333333332,8914.833333333332,271159.5138888889
91,829,2018-04-03,WSM,459137273047.7012,13.484022988505748,223.77057471264368,0.0,6.0,0.0013311148086522,6580950.0,9015.0,274206.25
92,838,2018-04-04,WSM,460912030972.5609,13.533706245314573,224.4728677700248,0.0,6.0,0.0013164871733923,6654071.666666666,9115.166666666666,277252.98611111107
93,847,2018-04-05,WSM,461396052959.0887,13.481680536292188,224.96445908460475,0.0,6.0,0.0013021775302032,6727193.333333334,9215.333333333334,280299.72222222225
94,856,2018-04-06,WSM,464522666274.8088,13.238495469718648,228.1454458750596,1.0,7.0,0.0015028715581557,5828841.428571429,7984.714285714287,242868.3928571429
95,865,2018-04-07,WSM,462636376073.7361,13.416921038990958,225.2319875597535,1.0,8.0,0.0016993897538599,5154791.583333333,7061.358333333334,214782.98263888888
96,874,2018-04-08,WSM,463212898561.5353,13.412374100719424,225.53225899280577,0.0,8.0,0.0016815947123188,5209340.833333333,7136.083333333333,217055.8680555556
97,883,2018-04-09,WSM,463806559405.51337,13.298360655737705,225.8467644521139,0.0,8.0,0.0016640781007321,5264176.0,7211.2,219340.66666666663
98,892,2018-04-10,WSM,465047103928.736,13.436631894415308,226.29704339807503,0.0,8.0,0.0016469226563947,5319011.166666666,7286.316666666666,221625.46527777772
99,901,2018-04-11,WSM,465792633274.8095,13.427971223021585,226.8584748201439,0.0,8.0,0.0016301173231662,5373846.333333333,7361.433333333332,223910.26388888888
100,910,2018-04-12,WSM,466658080362.7684,13.431506849315069,227.30718314723148,0.0,8.0,0.001613651491619,5428681.5,7436.549999999999,226195.0625
101,919,2018-04-13,WSM,467444969879.0384,13.431522614800322,227.70692830014963,0.0,8.0,0.0015975149767029,5483516.666666667,7511.666666666667,228479.86111111112
102,928,2018-04-14,WSM,467756182470.3164,13.356722446624351,228.06976341604155,0.0,8.0,0.0015816979967355,5538351.833333333,7586.783333333333,230764.6597222222
103,937,2018-04-15,WSM,467584639677.4322,13.457273094455022,227.44671398072816,0.0,8.0,0.0015661911536303,5593187.0,7661.900000000001,233049.4583333333
104,946,2018-04-16,WSM,469618084633.9424,13.430534790109258,228.8274295572168,0.0,8.0,0.0015509854142746,5648022.166666666,7737.0166666666655,235334.2569444444
105,955,2018-04-17,WSM,470212937797.267,13.341588435178252,229.2217358751368,0.0,8.0,0.0015360720929835,5702857.333333334,7812.133333333334,237619.0555555556
106,964,2018-04-18,WSM,471327830445.3363,13.407730529235035,229.74231569216548,0.0,8.0,0.0015214428349551,5757692.5,7887.25,239903.8541666667
107,971,2018-04-19,WSM,0.0,0.410958904109589,0.0,1.0,9.0,0.001695475800746,5166691.259259258,7077.659259259259,215278.8024691358
108,980,2018-04-20,WSM,472646430676.4056,13.59739511295528,230.7629091747349,0.0,9.0,0.0016797234055458,5215144.333333333,7144.033333333333,217297.68055555556
109,989,2018-04-21,WSM,473817078354.0776,13.583458040750546,231.2781167261425,0.0,9.0,0.00166417041105,5263884.0,7210.8,219328.5
110,998,2018-04-22,WSM,474806953042.7604,13.575569358178054,231.74453646192777,0.0,9.0,0.0016489027926,5312623.666666666,7277.566666666666,221359.3194444444
111,1007,2018-04-23,WSM,475452466315.3596,13.638033620241464,231.80204482439927,0.0,9.0,0.0016339127672128,5361363.333333333,7344.333333333332,223390.13888888888
112,1016,2018-04-24,WSM,476681902939.02905,13.692732290708372,232.7188200793514,0.0,9.0,0.001619192832373,5410103.0,7411.1,225420.9583333333
113,1025,2018-04-25,WSM,477570147123.6038,13.360306840466029,233.2298552229336,0.0,9.0,0.0016047357535125,5458842.666666666,7477.866666666666,227451.77777777772
114,1034,2018-04-26,WSM,479156258779.8372,13.498605785988149,234.70670926517573,0.0,9.0,0.001590534552154,5507582.333333333,7544.633333333333,229482.59722222225
115,1043,2018-04-27,WSM,478952797867.0169,13.789000991427072,234.85110229791204,0.0,9.0,0.001576582494679,5556321.999999999,7611.399999999999,231513.41666666663
116,1052,2018-04-28,WSM,480332158406.84985,13.383374618353592,234.36517080476983,0.0,9.0,0.0015628730816818,5605061.666666666,7678.166666666666,233544.2361111111
