,disk_id,timestamp,r_sectors,u_errors,n_b_written,n_b_read,app
200,19015.0,60480.0,100.0,100.0,99.0,99.0,DAE
201,19015.0,60480.0,100.0,100.0,99.0,99.0,DAE
202,19015.0,60480.0,100.0,100.0,,,DAE
203,19015.0,60480.0,94.0,100.0,,,DAE
204,19015.0,61920.0,94.0,100.0,,,DAE
205,19015.0,61920.0,100.0,100.0,99.0,99.0,DAE
206,19015.0,61920.0,100.0,100.0,99.0,99.0,DAE
207,19015.0,61920.0,100.0,100.0,,,DAE
208,19015.0,61920.0,100.0,100.0,100.0,100.0,DAE
209,19015.0,63360.0,100.0,100.0,99.0,99.0,DAE
210,19015.0,63360.0,100.0,100.0,99.0,99.0,DAE
211,19015.0,63360.0,100.0,100.0,100.0,100.0,DAE
212,19015.0,63360.0,94.0,100.0,,,DAE
213,19015.0,63360.0,100.0,100.0,,,DAE
214,19015.0,64800.0,94.0,100.0,,,DAE
215,19015.0,64800.0,100.0,100.0,99.0,99.0,DAE
216,19015.0,64800.0,100.0,100.0,100.0,100.0,DAE
217,19015.0,64800.0,100.0,100.0,,,DAE
218,19015.0,64800.0,100.0,100.0,99.0,99.0,DAE
219,19015.0,66240.0,100.0,100.0,100.0,100.0,DAE
220,19015.0,66240.0,100.0,100.0,99.0,99.0,DAE
221,19015.0,66240.0,100.0,100.0,,,DAE
222,19015.0,66240.0,94.0,100.0,,,DAE
223,19015.0,66240.0,100.0,100.0,99.0,99.0,DAE
224,19015.0,67680.0,100.0,100.0,100.0,100.0,DAE
225,19015.0,67680.0,94.0,100.0,,,DAE
226,19015.0,67680.0,100.0,100.0,,,DAE
227,19015.0,67680.0,100.0,100.0,99.0,99.0,DAE
228,19015.0,69120.0,100.0,100.0,99.0,99.0,DAE
229,19015.0,69120.0,100.0,100.0,100.0,100.0,DAE
230,19015.0,69120.0,100.0,100.0,99.0,99.0,DAE
231,19015.0,69120.0,100.0,100.0,,,DAE
232,19015.0,69120.0,94.0,100.0,,,DAE
233,19015.0,70560.0,100.0,100.0,99.0,99.0,DAE
234,19015.0,70560.0,100.0,100.0,99.0,99.0,DAE
235,19015.0,70560.0,94.0,100.0,,,DAE
236,19015.0,70560.0,100.0,100.0,100.0,100.0,DAE
237,19015.0,70560.0,100.0,100.0,,,DAE
238,19015.0,72000.0,100.0,100.0,99.0,99.0,DAE
239,19015.0,72000.0,100.0,100.0,,,DAE
240,19015.0,72000.0,100.0,100.0,100.0,100.0,DAE
241,19015.0,72000.0,94.0,100.0,,,DAE
242,19015.0,72000.0,100.0,100.0,99.0,99.0,DAE
243,19015.0,73440.0,100.0,100.0,100.0,100.0,DAE
244,19015.0,73440.0,100.0,100.0,99.0,99.0,DAE
245,19015.0,73440.0,100.0,100.0,99.0,99.0,DAE
246,19015.0,73440.0,100.0,100.0,,,DAE
247,19015.0,73440.0,94.0,100.0,,,DAE
248,19015.0,74880.0,100.0,100.0,99.0,99.0,DAE
249,19015.0,74880.0,100.0,100.0,,,DAE
250,19015.0,74880.0,94.0,100.0,,,DAE
251,19015.0,74880.0,100.0,100.0,99.0,99.0,DAE
252,19015.0,74880.0,100.0,100.0,100.0,100.0,DAE
253,19015.0,76320.0,100.0,100.0,,,DAE
254,19015.0,76320.0,100.0,100.0,99.0,99.0,DAE
255,19015.0,76320.0,94.0,100.0,,,DAE
256,19015.0,76320.0,100.0,100.0,100.0,100.0,DAE
257,19015.0,76320.0,100.0,100.0,99.0,99.0,DAE
258,19015.0,77760.0,94.0,100.0,,,DAE
