,disk_id,failure_time,model_y,app
251,41984.0,2019-04-16 02:52:53,B2,none
252,41985.0,2019-04-16 02:52:53,B2,none
253,11095.0,2019-04-01 20:49:36,B2,none
254,18709.0,2019-01-15 15:23:51,B2,none
255,18717.0,2019-01-15 15:23:54,B2,none
256,18714.0,2019-01-15 15:23:46,B2,none
257,18716.0,2019-01-15 15:23:54,B2,none
258,18712.0,2019-01-15 15:23:58,B2,none
259,18710.0,2019-01-15 15:23:54,B2,none
260,8869.0,2019-03-24 17:58:35,B2,none
261,48043.0,2019-09-06 23:36:05,B2,none
262,3113.0,2018-05-24 19:32:28,B2,SS
263,35022.0,2019-03-04 01:21:14,B2,RM
264,18718.0,2019-04-16 02:52:29,B2,none
265,18713.0,2019-01-15 15:23:46,B2,none
266,18708.0,2019-01-15 15:23:58,B2,none
267,18707.0,2019-01-15 15:23:46,B2,none
268,18711.0,2019-01-15 15:23:45,B2,none
269,12887.0,2019-11-11 08:54:28,B2,WSM
270,13065.0,2018-07-29 08:05:36,B2,none
271,36402.0,2019-04-12 14:49:03,B2,WSM
272,44443.0,2018-07-01 14:42:45,B2,RM
273,46738.0,2019-03-13 18:14:12,B2,none
274,44763.0,2018-12-31 07:55:43,B2,none
275,14810.0,2018-05-27 19:21:31,B2,none
276,12732.0,2018-04-11 09:06:06,B2,none
277,7233.0,2018-09-11 11:17:19,B2,none
278,10699.0,2019-06-13 05:02:37,B2,none
279,32505.0,2018-05-24 19:32:31,B2,none
280,15017.0,2018-05-30 23:28:38,B2,none
281,25958.0,2018-08-30 15:10:41,B2,none
282,21194.0,2019-05-17 09:05:20,B2,WSM
283,46077.0,2018-10-24 06:10:17,B2,none
284,46075.0,2018-10-30 21:07:47,B2,none
285,44094.0,2018-05-22 19:05:40,B2,WSM
286,43824.0,2019-04-20 02:13:48,B2,RM
287,43830.0,2019-04-20 02:13:48,B2,RM
288,43825.0,2019-04-20 02:13:48,B2,RM
289,43826.0,2019-04-20 02:13:48,B2,RM
290,43831.0,2019-04-20 02:13:48,B2,RM
